,t,x,v,a,u,hilbert
3226,3.22678778998779,579.33203125,31999.998046875,3999999.5,0.20394305884838104,925.6474015086611
3227,3.2277880341880345,583.33203125,3999.999755859375,-27999996.0,0.20394305884838104,892.4374314992124
3228,3.2287882783882784,609.33203125,25999.998046875,21999998.0,0.20394305884838104,882.494397207451
3229,3.229788522588523,634.33203125,24999.998046875,-999999.875,0.20394305884838104,872.2614040262372
3230,3.230788766788767,669.33203125,35000.0,9999999.0,0.20394305884838104,858.2762455847592
3231,3.231789010989011,665.33203125,-3999.999755859375,-38999996.0,0.20394305884838104,825.3679231506412
3232,3.2327892551892554,699.33203125,34000.0,37999996.0,0.20394305884838104,828.4157738759931
3233,3.2337894993894998,691.33203125,-7999.99951171875,-41999996.0,0.20394305884838104,792.8183449055646
3234,3.2347897435897437,726.33203125,35000.0,42999996.0,0.20394305884838104,808.2196718140501
3235,3.235789987789988,715.33203125,-10999.9990234375,-45999996.0,0.20394305884838104,768.1360703991471
3236,3.236790231990232,733.33203125,18000.0,28999996.0,0.20394305884838104,780.0136732199545
3237,3.2377904761904763,744.33203125,10999.9990234375,-6999999.0,0.20394305884838104,765.79659213775
3238,3.2387907203907207,726.33203125,-18000.0,-28999996.0,0.20394305884838104,742.4595595155871
3239,3.2397909645909646,733.33203125,6999.99951171875,24999998.0,0.20394305884838104,740.3781691270405
3240,3.240791208791209,736.33203125,2999.999755859375,-3999999.5,0.20394305884838104,741.1937503151647
3241,3.2417914529914533,765.33203125,28999.998046875,25999998.0,0.20394305884838104,765.3606607757554
3242,3.2427916971916972,722.33203125,-42999.99609375,-71999992.0,0.20394305884838104,723.1190992366194
3243,3.2437919413919416,751.33203125,28999.998046875,71999992.0,0.20394305884838104,753.5415058313735
3244,3.244792185592186,747.33203125,-3999.999755859375,-32999996.0,0.20394305884838104,758.3975687349005
3245,3.24579242979243,738.33203125,-9000.0,-4999999.5,0.20394305884838104,756.6263639890964
3246,3.2467926739926742,743.33203125,5000.0,13999998.0,0.20394305884838104,776.2599626098641
3247,3.2477929181929186,718.33203125,-24999.998046875,-29999996.0,0.20394305884838104,768.829877095993
3248,3.2487931623931625,724.33203125,5999.99951171875,30999996.0,0.20394305884838104,788.0470074219953
3249,3.249793406593407,707.33203125,-17000.0,-22999998.0,0.20394305884838104,805.6079270052462
3250,3.250793650793651,679.33203125,-27999.998046875,-10999999.0,0.20394305884838104,796.5784217439616
3251,3.251793894993895,673.33203125,-5999.99951171875,21999998.0,0.20394305884838104,822.1249438653588
3252,3.2527941391941395,645.33203125,-27999.998046875,-21999998.0,0.20394305884838104,823.1037960938014
3253,3.2537943833943834,638.33203125,-6999.99951171875,20999998.0,0.20394305884838104,850.8146619679569
3254,3.254794627594628,608.33203125,-29999.998046875,-22999998.0,0.20394305884838104,860.217618380288
3255,3.255794871794872,600.33203125,-7999.99951171875,21999998.0,0.20394305884838104,889.1085136991146
3256,3.256795115995116,574.33203125,-25999.998046875,-17999998.0,0.20394305884838104,920.4606278209951
3257,3.2577953601953604,536.33203125,-38000.0,-11999999.0,0.20394305884838104,944.2987117372013
3258,3.258795604395605,496.33203125,-40000.0,-1999999.75,0.20394305884838104,956.4270967528211
3259,3.2597958485958487,471.33203125,-24999.998046875,14999998.0,0.20394305884838104,991.8802914515933
3260,3.260796092796093,416.33203125,-54999.99609375,-29999996.0,0.20394305884838104,1020.1672929305668
3261,3.261796336996337,363.33203125,-52999.99609375,1999999.75,0.20394305884838104,1028.734314657782
3262,3.2627965811965813,339.33203125,-23999.998046875,28999996.0,0.20394305884838104,1057.5526713264728
3263,3.2637968253968257,281.33203125,-57999.99609375,-33999996.0,0.20394305884838104,1117.4571557692277
3264,3.2647970695970696,193.33203125,-87999.9921875,-29999996.0,0.7197249531745911,1113.4856641522335
3265,3.265797313797314,167.33203125,-25999.998046875,61999992.0,0.7197249531745911,1135.3630562483536
3266,3.2667975579975583,106.33203125,-60999.99609375,-34999996.0,0.7197249531745911,1179.7949514127506
3267,3.2677978021978022,45.33203125,-60999.99609375,0.0,0.7197249531745911,1219.938871886236
3268,3.2687980463980466,-44.66796875,-89999.9921875,-28999996.0,0.7197249531745911,1253.7441609422665
3269,3.269798290598291,-103.66796875,-58999.99609375,30999996.0,0.7197249531745911,1269.83769713796
3270,3.270798534798535,-177.66796875,-74000.0,-14999998.0,0.7197249531745911,1320.9253659571675
3271,3.2717987789987792,-265.66796875,-87999.9921875,-13999998.0,0.7197249531745911,1356.2657630338765
3272,3.2727990231990236,-359.66796875,-93999.9921875,-5999999.5,0.7197249531745911,1393.0646219087803
3273,3.2737992673992675,-440.66796875,-81000.0,12999999.0,0.7197249531745911,1411.1892293170272
3274,3.274799511599512,-521.66796875,-81000.0,0.0,0.7197249531745911,1457.7295036537244
3275,3.275799755799756,-630.66796875,-108999.9921875,-27999996.0,0.7197249531745911,1497.4293655393462
3276,3.2768,-719.66796875,-88999.9921875,19999998.0,0.7197249531745911,1522.1460718062183
3277,3.2778002442002445,-815.66796875,-95999.9921875,-6999999.0,0.7197249531745911,1561.5724415818497
3278,3.2788004884004884,-923.66796875,-107999.9921875,-11999999.0,0.7197249531745911,1597.1387846269254
3279,3.279800732600733,-1009.66796875,-85999.9921875,21999998.0,0.7197249531745911,1609.1815582568915
3280,3.280800976800977,-1089.66796875,-80000.0,5999999.5,0.7197249531745911,1645.2682154467075
3281,3.281801221001221,-1209.66796875,-119999.9921875,-39999996.0,0.7197249531745911,1694.7773250121563
3282,3.2828014652014654,-1295.66796875,-85999.9921875,33999996.0,0.7197249531745911,1705.7354772792025
3283,3.28380170940171,-1376.66796875,-81000.0,4999999.5,0.7197249531745911,1725.9964600777816
3284,3.2848019536019537,-1443.66796875,-67000.0,13999998.0,0.7197249531745911,1736.9305506507067
3285,3.285802197802198,-1522.66796875,-79000.0,-11999999.0,0.7197249531745911,1767.8239613874111
3286,3.286802442002442,-1591.66796875,-69000.0,9999999.0,0.7197249531745911,1782.429540461303
3287,3.2878026862026863,-1647.66796875,-55999.99609375,12999999.0,0.7197249531745911,1795.8945591650738
3288,3.2888029304029307,-1697.66796875,-49999.99609375,5999999.5,0.7197249531745911,1807.7782875314954
3289,3.2898031746031746,-1757.66796875,-59999.99609375,-9999999.0,0.7197249531745911,1835.4422703662883
3290,3.290803418803419,-1791.66796875,-34000.0,25999998.0,0.7197249531745911,1836.2887585331475
3291,3.2918036630036633,-1809.66796875,-18000.0,15999998.0,0.7197249531745911,1837.2118613620005
3292,3.2928039072039073,-1855.66796875,-45999.99609375,-27999996.0,0.7197249531745911,1866.7356078139562
3293,3.2938041514041516,-1862.66796875,-6999.99951171875,38999996.0,0.7197249531745911,1864.3873072364593
3294,3.294804395604396,-1864.66796875,-1999.9998779296875,4999999.5,0.7197249531745911,1865.0119994678255
3295,3.29580463980464,-1855.66796875,9000.0,10999999.0,0.7197249531745911,1861.235296113499
3296,3.2968048840048843,-1848.66796875,6999.99951171875,-1999999.75,0.7197249531745911,1867.0708861656817
3297,3.2978051282051286,-1818.66796875,29999.998046875,22999998.0,0.7197249531745911,1856.0226195603718
3298,3.2988053724053725,-1800.66796875,18000.0,-11999999.0,0.7197249531745911,1864.9215923384934
3299,3.299805616605617,-1742.66796875,57999.99609375,39999996.0,0.7197249531745911,1845.2698000713615
3300,3.300805860805861,-1686.66796875,55999.99609375,-1999999.75,0.7197249531745911,1825.5914987765184
3301,3.301806105006105,-1618.66796875,68000.0,11999999.0,0.7197249531745911,1804.4083946042365
3302,3.3028063492063495,-1552.66796875,66000.0,-1999999.75,0.7197249531745911,1776.3253324735226
3303,3.3038065934065934,-1505.66796875,46999.99609375,-18999998.0,0.7197249531745911,1782.996702640849
3304,3.304806837606838,-1415.66796875,89999.9921875,42999996.0,0.7197249531745911,1760.5356061799887
3305,3.305807081807082,-1326.66796875,88999.9921875,-999999.875,0.7197249531745911,1730.05722865578
3306,3.306807326007326,-1237.66796875,88999.9921875,0.0,0.7197249531745911,1701.194106844718
3307,3.3078075702075704,-1150.66796875,86999.9921875,-1999999.75,0.7197249531745911,1679.5935641945182
