,t,x,v,a,u,x_up,x_down
6998,6.998854352337933,45.4375,-9000.0,-4999999.5,-3.6125235557556152,225.7979230182927,7.37109375
6999,6.999854474423148,43.4375,-1999.9998779296875,6999999.0,-3.6125235557556152,225.90767911585365,7.37109375
7000,7.000854596508363,31.4375,-11999.9990234375,-9999999.0,-3.6125235557556152,226.0174352134146,7.37109375
7001,7.001854718593579,52.4375,20999.998046875,32999996.0,-3.6125235557556152,226.12719131097563,7.37109375
7002,7.002854840678794,46.4375,-5999.99951171875,-26999996.0,-3.6125235557556152,226.23694740853657,7.37109375
7003,7.00385496276401,84.4375,38000.0,43999996.0,-3.6125235557556152,226.3467035060976,7.37109375
7004,7.0048550848492255,39.4375,-44999.99609375,-82999992.0,-3.6125235557556152,226.45645960365854,7.37109375
7005,7.005855206934441,50.4375,10999.9990234375,55999992.0,-3.6125235557556152,226.56621570121948,7.37109375
7006,7.006855329019657,43.4375,-6999.99951171875,-17999998.0,-3.6125235557556152,226.67597179878052,7.37109375
7007,7.007855451104872,42.4375,-999.9999389648438,5999999.5,-3.6125235557556152,226.78572789634146,7.37109375
7008,7.008855573190087,54.4375,11999.9990234375,12999999.0,-3.6125235557556152,226.8954839939024,7.37109375
7009,7.009855695275303,56.4375,1999.9998779296875,-9999999.0,-3.6125235557556152,227.00524009146343,7.37109375
7010,7.010855817360518,46.4375,-10000.0,-11999999.0,-3.6125235557556152,227.11499618902437,7.37109375
7011,7.011855939445733,63.4375,17000.0,26999996.0,-3.6125235557556152,227.22475228658533,7.37109375
7012,7.012856061530949,65.4375,1999.9998779296875,-14999998.0,-3.6125235557556152,227.33450838414635,7.37109375
7013,7.013856183616165,107.4375,41999.99609375,39999996.0,-3.6125235557556152,227.4442644817073,7.37109375
7014,7.014856305701381,78.4375,-28999.998046875,-70999992.0,-3.6125235557556152,227.55402057926833,7.37109375
7015,7.015856427786596,89.4375,10999.9990234375,39999996.0,-3.6125235557556152,227.66377667682926,7.37109375
7016,7.016856549871811,86.4375,-2999.999755859375,-13999998.0,-3.6125235557556152,227.77353277439022,7.37109375
7017,7.017856671957027,89.4375,2999.999755859375,5999999.5,-3.6125235557556152,227.88328887195124,7.37109375
7018,7.018856794042242,91.4375,1999.9998779296875,-999999.875,-3.6125235557556152,227.9930449695122,7.37109375
7019,7.019856916127457,101.4375,10000.0,7999999.0,-3.6125235557556152,228.10280106707313,7.37109375
7020,7.020857038212673,101.4375,0.0,-9999999.0,-3.6125235557556152,228.21255716463418,7.37109375
7021,7.0218571602978885,112.4375,10999.9990234375,10999999.0,-3.6125235557556152,228.3223132621951,7.37109375
7022,7.022857282383104,115.4375,2999.999755859375,-7999999.0,-3.6125235557556152,228.43206935975604,7.346997364457839
7023,7.02385740446832,131.4375,15999.9990234375,12999999.0,-3.6125235557556152,228.5418254573171,7.322900978915657
7024,7.024857526553535,128.4375,-2999.999755859375,-18999998.0,-3.6125235557556152,228.65158155487802,7.298804593373496
7025,7.02585764863875,133.4375,5000.0,7999999.0,-3.6125235557556152,228.76133765243895,7.274708207831335
7026,7.026857770723966,151.4375,18000.0,12999999.0,-3.6125235557556152,228.87109375,7.2506118222891525
7027,7.027857892809181,162.4375,10999.9990234375,-6999999.0,-3.6125235557556152,228.98084984756093,7.2265154367469915
7028,7.028858014894397,155.4375,-6999.99951171875,-17999998.0,-3.6125235557556152,229.09060594512198,7.202419051204809
7029,7.0298581369796125,150.4375,-5000.0,1999999.75,-3.6125235557556152,229.2003620426829,7.178322665662648
7030,7.030858259064828,154.4375,3999.999755859375,8999999.0,-3.6125235557556152,229.31011814024384,7.154226280120487
7031,7.031858381150044,169.4375,14999.9990234375,10999999.0,-3.6125235557556152,229.4198742378049,7.130129894578305
7032,7.032858503235259,168.4375,-999.9999389648438,-15999998.0,-3.6125235557556152,229.52963033536582,7.106033509036144
7033,7.033858625320474,160.4375,-7999.99951171875,-6999999.0,-3.6125235557556152,229.63938643292678,7.081937123493983
7034,7.03485874740569,172.4375,11999.9990234375,19999998.0,-3.6125235557556152,229.7491425304878,7.057840737951801
7035,7.035858869490905,170.4375,-1999.9998779296875,-13999998.0,-3.6125235557556152,229.85889862804876,7.03374435240964
